year_frac,tsi,tsi_unc
1936.0417,1361.5604,0.1669
1936.1250,1361.8718,0.1475
1936.2083,1361.9874,0.1476
1936.2917,1362.0304,0.1493
1936.3750,1362.0550,0.1264
1936.4583,1361.9702,0.1361
1936.5417,1361.9808,0.1242
1936.6250,1362.0924,0.1501
1936.7083,1362.2705,0.1484
1936.7917,1362.2734,0.1657
1936.8750,1362.0850,0.2200
1936.9583,1362.4380,0.2114
1937.0417,1362.2781,0.2405
1937.1250,1362.4003,0.2341
1937.2083,1362.5068,0.1798
1937.2917,1361.9177,0.2304
1937.3750,1362.0651,0.2280
1937.4583,1362.0026,0.2597
1937.5417,1361.9668,0.3029
1937.6250,1362.5049,0.2490
1937.7083,1362.5421,0.1925
1937.7917,1361.8901,0.2528
1937.8750,1362.3580,0.1580
1937.9583,1362.0724,0.1693
1938.0417,1361.7216,0.2122
1938.1250,1362.2441,0.2078
1938.2083,1362.2229,0.1848
1938.2917,1361.9482,0.2190
1938.3750,1362.1482,0.2374
1938.4583,1362.4207,0.1876
1938.5417,1362.0298,0.2970
1938.6250,1362.7466,0.2049
1938.7083,1362.2311,0.1986
1938.7917,1361.9177,0.2053
1938.8750,1361.7748,0.2406
1938.9583,1362.0228,0.1965
1939.0417,1362.1480,0.1636
1939.1250,1362.1438,0.1551
1939.2083,1362.1400,0.1406
1939.2917,1361.8247,0.2059
1939.3750,1362.3242,0.1997
1939.4583,1362.5869,0.1795
1939.5417,1362.0033,0.2132
1939.6250,1361.7255,0.2308
1939.7083,1361.4187,0.2691
1939.7917,1361.8701,0.1972
1939.8750,1361.8829,0.1557
1939.9583,1361.8646,0.1158
1940.0417,1361.4419,0.1382
1940.1250,1361.6450,0.1311
1940.2083,1361.7417,0.1633
1940.2917,1362.1221,0.1301
1940.3750,1361.9480,0.1281
1940.4583,1361.8423,0.1596
1940.5417,1362.0586,0.1379
1940.6250,1361.7765,0.2024
1940.7083,1362.1078,0.1473
1940.7917,1361.7780,0.1373
1940.8750,1361.8615,0.1205
1940.9583,1361.8274,0.1301
1941.0417,1361.8898,0.1124
1941.1250,1361.7655,0.1085
1941.2083,1361.7325,0.1074
1941.2917,1361.6956,0.0979
1941.3750,1361.7290,0.0949
1941.4583,1361.6400,0.1217
1941.5417,1361.7701,0.1364
1941.6250,1361.8809,0.1323
1941.7083,1361.6176,0.1521
1941.7917,1361.6304,0.1242
1941.8750,1361.6536,0.1076
1941.9583,1361.6709,0.0987
1942.0417,1361.6547,0.0986
1942.1250,1361.4701,0.1256
1942.2083,1361.5841,0.1243
1942.2917,1361.6280,0.1293
1942.3750,1361.7296,0.0945
1942.4583,1361.5140,0.0800
